ID | NAME | IATA(3) | ICAO(4) | CALLSIGN | ID_COUNTRY_OF_ORIGIN
238,Allied Air,,AJK,BAMBI,
239,Air Jamaica,JM,AJM,JAMAICA,111
240,Air One,AP,ADH,HERO,110
241,Air Sahara,S2,RSH,SAHARA,103
242,Air Malta,KM,AMC,AIR MALTA,138
243,Aeroejecutivo,,AJO,AEROEXO,144
244,Aero Jets Corporativos,,AJP,AEROJETS,144
245,Aeroejecutivos Colombia,,AJS,AEROEJECUTIVOS,49
246,Amerijet International,M6,AJT,AMERIJET,
247,Air Jetsul,,AJU,AIRJETSUL,178
248,ANA & JP Express,,AJV,AYJAY CARGO,112
249,Alpha Jet International,,AJW,ALPHAJET,
250,Air Japan,Q,AJX,AIR JAPA,112
251,Ajet,,AJY,AYJET,59
252,Air Korea Co. Ltd.,,AKA,,
253,Air Livonia,,LIV,LIVONIA,70
254,Air BC,,ABL,AIRCOACH,40
255,Air Fret Senegal,,AB, ,196
256,Air Jamahiriya Company,,LJA,AIR JAMAHIRIYA,127
257,Aktjubavia,,AKB,KARAB,115
258,Arca Aerovias Colombianas Ltda.,,AKC,ARCA,49
259,Anikay Air Company,,AKF,ANIKAY,121
260,Akhal,,AKH,AKHAL,229
261,Aeromilenio,,MNI,AEROMIL,144
262,Aklak Air,,AKK,AKLAK,40
263,Air Kiribati,4A,AKL,,117
264,Alkan Air,,AK,ALKAN AIR,40
265,Angkor Airways,,AKW,ANGKORWAYS,38
266,Air Nippon Network Co. Ltd.,EH,AKX,ALFA WING,112
267,AK Navigator LLC,,AKZ,ABSOLUTE,115
268,Aero Albatros,,ALB,ALBATROS,144
269,Albion Aviation,,ALD,ALBIO,
270,Aeroalas Colombia,,ALE,AEROALAS,49
271,Allied Command Europe (Mobile Force),,ALF,ACEFORCE,22
272,Aerotaxis Albatros,,BTS,AEROLINEAS ALBATROS,144
273,American Flyers,,FYS,AMERICAN FLYERS,
274,Aero Coach Aviation,,DFA,AERO COACH,
275,Atlantic Southeast Airlines,,CAA,Chandler,
276,ACM Air Charter,,BVR,BAVARIA,83
277,Air Logistics,,ALG,AIRLOG,
278,Aerovallarta,,ALL,VALLARTA,144
279,Air ALM,,ALM,ANTILLEA,
280,Air Lincoln,,AL,CHICAGO LINCOL,
281,America West Airlines,HP,AWE,CACTUS,
282,Air Wisconsin,ZW,AWI,AIR WISCONSI,
283,Aerotransporte de Carga Union,,TNO,AEROUNIO,144
284,Aero Taxis Cessna,,TND,TAXIS CESSNA,144
285,Arizona Express Airlines,,TMP,TEMPE,
286,Tatarstan Airlines,U9,TAK,TATARSTA,
287,Allegheny Commuter Airlines,,ALO,ALLEGHENY,
288,Alpliner AG,,ALP,ALPINER,216
289,Altair Aviation (1986),,ALQ,ALTAIR,40
290,Air Luxor STP,,ALU,LUXORJET,194
291,Alas de Venezuela,,ALV,ALVE,
292,Alas Nacionales,,ALW, S.A.,
293,Alyeska Air Service,,ALY,ALYESKA,
294,Alta Flights (Charters) Ltd.,,ALZ, ,40
295,Air Sunshine,,RSI,AIR SUNSHINE,
296,ATMA,,AMA,ADIK,115
297,Aerolineas Medellin,,AMD,AEROLINEAS MEDELLI,49
298,Ameriflight,,AMF,AMFLIGHT,
299,Air Libert,VD,,,76
300,Air Lithuania,TT,KLA,KAUNAS,129
301,Air Minas Linhas A,,AMG,AIR MINAS,32
302,Alan Mann Helicopters Ltd.,,AMH,MA,
303,Air Maldives,,AMI,AIR MALDIVES,136
304,Aviation Amos,,AMJ,AVIATION AMOS,40
305,Amerer Air,,AMK,AMER AIR,15
306,Air Malawi,QM,AML,MALAWI,134
307,Aeroputul International Marculesti,,AMM,AEROM,
308,Air Montenegro,,AM,MONTENEGRO,149
309,Air Montreal (Air Holdings Inc.),,AMO,AIR MONTREAL,40
310,Aero Transporte S.A. (ATSA),,AMP,ATSA,174
311,Aeromedicare Ltd.,,AMQ,LIFELINE,
312,Air Sicilia,BM,,,110
313,Air Specialties Corporation,,AMR,AIR AM,
314,Air Muskoka,,AMS,AIR MUSKOKA,40
315,ATA Airlines,,AMT,AMTRA,
316,Air Macau,X,AMU,AIR MACAO,131
317,AMC Airlines,,AMV,,66
318,Air Midwest,ZV,AMW,AIR MIDWEST,
319,Air Seychelles,HM,SEY,SEYCHELLES,198
320,Air Sofia,,SFB,AIR SOFIA,35
321,AeroMéxico,AM,AMX,AEROMEXICO,144
322,Air Ambar,,AMY,AIR AMBAR,64
323,Amiya Airline,,AMZ,AMIYA AIR,
324,All Nippon Airways,H,ANA,ALL NIPPO,112
325,Air Navigation And Trading Co. Ltd.,,ANB,AIR NAV,
326,Anglo Cargo,,ANC,ANGLO,
327,Air Nostrum,YW,ANE,AIR NOSTRUM,209
328,Air Niugini,PX,ANG,UIGINI,172
329,Air Arabia,G9,ABY,ARABIA,234
330,Air Canada,AC,ACA,AIR CANADA,40
331,Airport Bratsk,,BRP,AEROBRA,
332,Air Wings,,BSB,ARBAS,
333,Air Baltic,BT,BTI,AIRBALTIC,123
334,Alajnihah for Air Transport,,ANH,ALAJNIHAH,127
335,Air Atlantic (Nig) Limited,,ANI,IGALANTIC,
336,Air Nippon,EL,ANK,ANK AIR,112
337,Antares Airtransport,,ANM, Maintenance & Service GmbH,
338,Airnorth,TL,ANO,TOPEND,14
339,Aerol,,ANQ,ANTIOQUIA,49
340,Andes Lineas Aereas,,ANS,AEROANDES,11
341,Air North Charter - Canada,4,ANT,AIR NORTH,40
342,Air Nevada,,ANV,AIR NEVADA,
343,AOM French Airlines,IW,AOM,French Lines,76
344,Aviacion Del Noroeste,,ANW, S.A. de C.V.,
345,Air New Zealand,Z,ANZ,EW ZEALAND,
346,Avia Jaynar,,SAP,TOBOL,115
347,Aero Servicios Empresariales,,EMS,SERVIEMPRESARIAL,144
348,Alcon Servicios Aereos,,AOA, S.A. de C.V.,
349,AVCOM,J6,AOC,AERO AVCOM,
350,Aero Vodochody,,AOD,AERO CZECH,60
351,Air One Executive,,AOE, ,110
352,Atair Pty Ltd.,,AOF,ATAIR,206
353,Aero VIP,2D,AOG,AVIP,11
354,Aeromundo Ejecutivo,,MU,AEROMUNDO,144
355,Aerolinea Muri,,MUR,MURI,144
356,Astoria,,AOI, Inc.,
357,Aero Rent JSC,,RO,AEROMASTER,
358,Aeronord-Grup,,RP,AERONORD,
359,Aeroatlantico Colombia,,AOK,,49
360,Angkor Airlines,,AOL,ANGKOR AIR,38
361,Aero Entreprise,,AO,AERO ENTERPRISE,76
362,As,,AOO, Opened Joint Stock Company,
363,Aeropiloto,,AOP,AEROPILOTO,178
364,Aeroenlaces Nacionales,,VIV,AEROENLACES,144
365,Aerovis Airlines,,VIZ,AEROVIZ,233
366,Avjet International (FZE),,VJE,,234
367,Aerovista Gulf Express,,VGF,VISTA GULF,234
368,Air Vegas,6V,VGA,AIR VEGAS,
369,Almaver,,VER,ALMAVER,144
370,Afro International Ent. Limited,,AOR,INTER-AFRO,
371,Alitalia Express,XM,SMX,ALIEXPRESS,110
372,Asia Overnight Express,OE,AOT,ASIA OVERNIGHT,175
373,Air Tractor,,AOU,AIR TRACTOR,56
374,Aero Vision,,AOV,AEROVISIO,76
375,Aerotaxi Del Valle,,AOX,AEROVALLE,49
376,Air Park Aviation Ltd.,,APA,CAN-AM,40
377,Airpac Airlines,,APC, Inc.,
378,Aeroservicios Monterrey,,SVM,SERVIMONTE,144
379,Amapola Flyg AB,,APF,AMAPOLA,215
380,Air People International,,APG,AIR PEOPLE,221
381,Alpha Aviation,,APH, Inc.,
382,ASA Pesada,,API, Lda.,
383,Air Print,,APJ, S.A.,
384,Atlantic Airlines,,BJK,BLACKJACK,
385,Aerotransporte Petrolero,,PET,AEROPETRO,49
386,Aero Flight,GV,ARF,Aero Fox,83
387,ACM Aviation,,BJT,BAY JET,
388,Aircompany Barcol,,BKL,BARCOL,
389,All Charter Limited,,BLA,ALL CHARTER,
390,Appalachian Flying Service,,APL, Inc.,
391,Airpac,,APM, Inc.,
392,Aeropro,,APO,AEROPRO,40
393,Aerolineas Pacifico Atlantico,,APP, S.A. (Apair),
394,Aspen Aviation,,APQ,ASPEN BASE,
395,Aeropuma,,APU, S.A.,
396,Air Plan International,,APV,AIR PLA,
397,Arrow Air,JW,APW,BIG A,
398,Apex Air Cargo,,APX,PARCEL EXPRESS,
399,APA Internacional,,APY,APA INTERNACIONAL,64
400,Aeroatlas,,AQA, S.A.,
401,Aquila Air Ltd.,,AQL,AQUILA,40
402,Air Queensland,,AQ,BUSHAIR,14
403,Aluminum Company Of America,,AQO,ALCOA SHUTTLE,
404,Aviones de Renta de Quintana Roo,,AQT, S.A. de C.V.,
405,AirQuarius Aviation,,AQU,QUARIUS,206
406,Aerodyne Charter Company,,AQZ,QUANZA,
407,Arik Air,W3,ARA,ARIK AIR,
408,Avia Air N.V.,,ARB,AVIAIR,13
409,Air Routing International Corp.,,ARC, ,
410,Aerocondor,2B,ARD,AEROCONDOR,178
411,Aires,4C,ARE, Aerovias de Integracion Regional,
412,Aerolineas Argentinas,AR,ARG,ARGENTINA,11
413,Arrowhead Airways,,ARH,ARROWHEAD,
414,Aero Vics,,ARI,AEROVICS,144
415,Aerojet de Costa Rica,,ARJ, S.A.,
416,Antillana De Navegacion Aerea,,SU,,64
417,Aeroservicios De San Luis,,SUO,SERVICIO SANLUIS,144
418,Aerosuper,,SUP,AEROSUPER,144
419,Aero Link Air Services S.L.,,ARK,LINK SERVICE,209
420,Airlec - Air Aquitaine Transport,,ARL,AIRLEC,76
421,Aeromarket Express,,ARM,AMEX,209
422,Arrow Aviation Ltd.,,ARO,ARROW,40
423,RPA-Aviataxi Ltd.,,ARP,,
424,Air Klaipeda,,KLD,AIR KLAIPEDA,129
425,Armstrong Air,,ARQ, Inc.,
426,Air Armenia,Q,ARR,AIR ARMENIA,12
427,Aeromet Servicios,,ARS,METSERVICE,45
428,Aerotal Aerolineas Territoriales de Colombia Ltda,,ART,AEROTAL,49
429,Aravco Ltd.,,ARV,ARAVCO,
430,Aria,,ARW,ARIABIRD,76
431,Air Xpress,,ARX, Inc.,
432,Airline Alania,,OST,ALANIA,
433,Air Tchad,,HTT,HOTEL TANGO,44
434,Aerloineas de Techuacan,,HUC,LINEAS TEHUACA,144
435,Aerotransportes Huitzilin,,HUT,AEROHUITZILI,144
436,Aero Transportes Del Humaya,,HUY,AERO HUMAYA,144
437,Argosy Airways,,ARY,GOSEY,
438,Air Resorts,,ARZ,AIR RESORTS,
439,Alaska Airlines,AS,ASA, Inc.,
440,Air-Spray 1967 Ltd.,,ASB,AIR SPRAY,40
441,Air Star Corporation,,ASC,AIR STAR,40
442,Air Sinai,4D,ASD,AIR SINAI,66
443,Airstars,PL,ASE,MOROZOV,
444,Air Schefferville,,ASF, Inc.,
445,African Star Airways (PTY) Ltd.,,ASG,AFRICAN STAR,206
446,Aerosun International,,ASI, Inc.,
447,Air Satellite,,ASJ,SATELLITE,40
448,Awesome Flight Services (PTY) Ltd.,,ASM,AWESOME,206
449,Air and Sea Transport,,AS, ,
450,Aero Slovakia,,ASO,AERO NITRA,202
451,Airsprint,,ASP,AIRSPRINT,40
452,Atlantic Southeast Airlines,EV,ASQ,ACEY,
453,All Star Airlines,,ASR, Inc.,
454,Air Class,,ASS, S.A. de C.V.,
455,Aerlineas Del Oeste,,AST,AEROESTE,144
456,Aviones Are,,RE,AVIONES ARE,144
457,Air Nepal International,,PL,AIR NEPAL,
458,Air Napier,,PR,,
459,Air Taxi & Cargo,,WAM,TAXI CARGO,211
460,Arrow Panama,,WAP,ARROW PANAMA,171
461,Astravia-Bissau Air Transports Ltd.,,ASV,ASTRAVIA,94
462,Astrakhan Airlines,OB,ASZ,AIR ASTRAKHA,
463,Air Transport Association,,ATA,,
464,Atlantair Ltd.,,ATB,STARLITE,40
